Operationer, Endast specialiserad öppen vård, Antal ingrepp/100 000 inv, NGE41 Rekonstruktion av ligament i knäled utan främmande material - Artroskopisk eller endoskopisk, Ålder: 0-85+, Båda könen
År;Region;0­4;5­9;10­14;15­19;20­24;25­29;30­34;35­39;40­44;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2024;Riket;0,0;0,0;16,3;168,8;157,7;123,3;77,9;63,2;49,7;39,8;24,5;10,8;3,7;1,3;0,0;0,0;0,0;0,0;45,2
2024;Stockholms län;0,0;0,0;24,1;196,5;170,8;141,5;99,7;74,6;71,7;65,3;45,7;20,0;4,5;2,7;0,0;0,0;0,0;0,0;59,6
2023;Riket;0,0;0,0;14,6;176,9;160,7;113,2;78,5;59,1;49,7;42,9;27,1;9,7;3,3;0,6;0,0;0,0;0,3;0,0;45,1
2023;Stockholms län;0,0;0,0;24,1;227,4;171,6;112,3;99,6;69,9;73,1;67,3;43,0;19,3;7,1;0,9;0,0;0,0;0,0;0,0;59,2
2022;Riket;0,0;0,0;12,6;164,3;155,5;100,8;65,1;51,1;43,1;36,2;20,5;8,9;2,8;0,6;0,0;0,0;0,0;0,0;40,4
2022;Stockholms län;0,0;0,0;14,8;173,6;151,3;102,0;72,5;76,3;60,7;48,6;32,9;13,1;5,7;1,9;0,0;0,0;0,0;0,0;48,7
2021;Riket;0,0;0,2;9,4;137,7;113,8;84,0;56,3;37,9;38,0;30,7;15,2;6,6;1,1;0,7;0,0;0,0;0,0;0,0;32,6
2021;Stockholms län;0,0;0,7;20,2;175,2;124,3;110,8;71,6;51,5;59,2;56,0;21,7;14,1;1,7;1,9;0,0;0,0;0,0;0,0;46,0
2020;Riket;0,0;0,0;12,8;142,6;131,4;93,0;61,1;49,0;36,7;29,2;14,6;5,7;1,9;0,2;0,0;0,0;0,0;0,0;35,5
2020;Stockholms län;0,0;0,0;18,5;166,4;146,9;103,7;82,6;64,4;47,8;51,2;28,1;13,3;2,5;1,0;0,0;0,0;0,0;0,0;47,2
2019;Riket;0,0;0,2;12,9;156,9;140,4;105,9;70,1;44,3;43,1;37,4;16,8;6,9;1,9;0,4;0,0;0,0;0,0;0,0;39,4
2019;Stockholms län;0,0;0,0;18,9;171,7;127,6;124,1;97,8;51,4;63,4;58,7;32,9;13,1;0,0;0,0;0,0;0,0;0,0;0,0;50,2
2018;Riket;0,0;0,0;11,2;155,6;125,8;95,4;61,5;43,0;42,4;31,5;16,6;6,7;0,9;0,2;0,2;0,0;0,0;0,0;36,6
2018;Stockholms län;0,0;0,0;18,0;166,5;110,3;98,2;80,3;51,3;58,3;52,0;32,2;12,2;0,0;0,0;0,0;0,0;0,0;0,0;44,6
2017;Riket;0,0;0,0;11,9;184,1;147,0;122,3;78,1;58,1;54,6;43,3;23,3;7,2;2,0;0,5;0,0;0,0;0,0;0,0;45,6
2017;Stockholms län;0,0;0,0;15,6;295,3;221,8;199,3;126,2;106,8;106,7;101,4;60,9;16,4;7,1;0,0;0,0;0,0;0,0;0,0;82,7
2016;Riket;0,0;0,3;10,0;154,9;117,2;102,6;68,2;46,0;45,4;35,0;15,3;6,7;0,5;0,7;0,0;0,0;0,0;0,0;37,6
2016;Stockholms län;0,0;0,0;7,7;240,9;168,9;176,7;117,9;89,6;101,5;81,6;40,3;12,8;0,0;0,9;0,0;0,0;0,0;0,0;69,0
2015;Riket;0,0;0,0;8,1;134,3;110,4;95,8;61,5;47,5;44,7;25,5;13,6;5,7;1,2;0,3;0,2;0,0;0,0;0,0;34,5
2015;Stockholms län;0,0;0,0;0,8;181,2;158,1;143,0;98,0;83,1;98,3;58,8;31,6;13,8;3,7;0,9;0,0;0,0;0,0;0,0;58,4
2014;Riket;0,0;0,0;9,3;149,8;132,9;98,4;64,2;51,1;43,1;32,5;19,6;6,8;0,7;0,3;0,0;0,0;0,0;0,0;38,5
2014;Stockholms län;0,0;0,0;1,7;154,8;176,4;121,6;87,1;88,2;70,0;58,4;41,9;14,1;1,8;0,0;0,0;0,0;0,0;0,0;54,9
2013;Riket;0,0;0,0;3,8;129,6;122,3;85,3;63,8;43,4;46,6;25,5;10,8;5,2;0,7;0,2;0,0;0,0;0,0;0,8;34,4
2013;Stockholms län;0,0;0,0;0,0;145,9;136,6;96,6;102,2;63,4;79,9;42,5;16,6;5,9;0,0;0,0;0,0;0,0;0,0;4,4;47,1
2012;Riket;0,0;0,0;5,5;123,8;121,5;92,7;69,0;44,6;36,8;20,9;10,4;4,3;0,7;0,0;0,0;0,3;0,0;0,0;34,2
2012;Stockholms län;0,0;0,0;3,6;118,9;140,3;125,9;110,8;71,5;56,3;38,6;21,0;12,1;0,0;0,0;0,0;0,0;0,0;0,0;48,1
2011;Riket;0,0;0,0;4,7;100,4;97,6;70,9;41,5;39,2;29,7;17,8;9,2;1,7;0,5;0,0;0,3;0,0;0,0;0,0;26,9
2011;Stockholms län;0,0;0,0;0,0;69,5;76,2;60,8;42,3;45,4;20,7;23,2;13,5;1,8;0,0;0,0;0,0;0,0;0,0;0,0;24,3
