Operationer, Endast sluten vård, Antal ingrepp/100 000 inv, Ålder: 0-85+, Båda könen
År;Operation;Region;0­4;5­9;10­14;15­19;20­24;25­29;30­34;35­39;40­44;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2024;NBE41 Rekonstruktion av ligament i axel utan främmande material ­ Artroskopisk eller endoskopisk;Riket;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2024;NBE41 Rekonstruktion av ligament i axel utan främmande material ­ Artroskopisk eller endoskopisk;Stockholms län;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2024;NGE41 Rekonstruktion av ligament i knäled utan främmande material ­ Artroskopisk eller endoskopisk;Riket;0,0;0,2;3,5;10,2;7,9;6,6;4,4;5,5;3,5;3,0;1,8;1,3;0,3;0,0;0,2;0,0;0,0;0,0;3,0
2024;NGE41 Rekonstruktion av ligament i knäled utan främmande material ­ Artroskopisk eller endoskopisk;Stockholms län;0,0;0,0;2,0;6,8;7,7;4,9;3,4;3,7;4,6;4,3;0,6;3,2;0,0;0,0;0,0;0,0;0,0;0,0;2,7
2023;NBE41 Rekonstruktion av ligament i axel utan främmande material ­ Artroskopisk eller endoskopisk;Riket;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0
2023;NBE41 Rekonstruktion av ligament i axel utan främmande material ­ Artroskopisk eller endoskopisk;Stockholms län;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2023;NGE41 Rekonstruktion av ligament i knäled utan främmande material ­ Artroskopisk eller endoskopisk;Riket;0,0;0,2;3,3;8,4;6,6;7,0;5,1;3,4;2,6;2,8;1,5;0,7;0,3;0,0;0,0;0,0;0,0;0,0;2,6
2023;NGE41 Rekonstruktion av ligament i knäled utan främmande material ­ Artroskopisk eller endoskopisk;Stockholms län;0,0;0,0;3,4;8,4;7,8;4,8;4,9;5,4;3,5;3,6;0,6;0,6;0,8;0,0;0,0;0,0;0,0;0,0;2,9
2022;NBE41 Rekonstruktion av ligament i axel utan främmande material ­ Artroskopisk eller endoskopisk;Riket;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2022;NBE41 Rekonstruktion av ligament i axel utan främmande material ­ Artroskopisk eller endoskopisk;Stockholms län;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2022;NGE41 Rekonstruktion av ligament i knäled utan främmande material ­ Artroskopisk eller endoskopisk;Riket;0,0;0,0;2,7;4,7;3,4;4,6;2,9;1,6;1,9;2,1;1,7;0,9;0,5;0,0;0,0;0,0;0,0;0,0;1,7
2022;NGE41 Rekonstruktion av ligament i knäled utan främmande material ­ Artroskopisk eller endoskopisk;Stockholms län;0,0;0,0;2,7;5,7;3,2;2,9;2,5;0,0;0,0;1,2;1,9;0,7;2,4;0,0;0,0;0,0;0,0;0,0;1,4
2021;NBE41 Rekonstruktion av ligament i axel utan främmande material ­ Artroskopisk eller endoskopisk;Riket;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
