Operationer, Sluten och/eller specialiserad öppen vård, Antal patienter/100 000 inv, NBL49 Sutur eller reinsertion av sena i axel eller överarm, Ålder: 0-85+, Båda könen
År;Region;0­4;5­9;10­14;15­19;20­24;25­29;30­34;35­39;40­44;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2024;Riket;0,0;0,0;0,0;0,8;3,2;4,4;8,8;10,9;20,2;44,3;77,1;110,4;145,7;107,7;66,7;29,2;10,8;0,7;36,5
2024;Stockholms län;0,0;0,0;0,0;0,7;3,8;4,9;7,4;12,1;25,8;64,1;101,3;146,6;188,6;187,4;143,6;54,4;15,6;1,9;50,6
2023;Riket;0,0;0,0;0,2;2,0;3,2;5,0;6,0;10,1;23,8;43,2;73,9;106,2;134,0;107,0;62,6;32,3;11,9;1,8;35,3
2023;Stockholms län;0,0;0,0;0,7;2,1;2,4;3,6;6,3;7,5;26,1;56,4;90,9;145,6;183,6;184,9;111,0;60,6;32,4;0,0;47,5
2022;Riket;0,0;0,0;0,0;1,3;2,6;5,2;7,3;10,8;19,3;42,3;60,6;95,9;118,1;95,7;54,1;27,5;6,3;1,5;31,2
2022;Stockholms län;0,0;0,0;0,0;0,7;3,2;3,5;9,4;12,1;20,6;53,4;85,3;117,6;142,6;156,9;99,8;47,7;9,3;4,2;40,3
2021;Riket;0,0;0,0;0,5;1,2;3,3;3,8;5,3;9,7;25,6;38,7;60,4;88,5;118,0;81,2;50,1;25,5;9,1;2,3;29,7
2021;Stockholms län;0,0;0,0;0,7;0,0;4,8;5,1;5,0;9,5;29,9;52,4;64,4;94,8;143,0;126,0;87,2;32,8;15,8;4,4;35,4
2020;Riket;0,0;0,0;0,2;2,3;3,4;5,2;5,6;9,6;19,0;36,4;62,1;88,1;108,6;71,7;43,2;26,0;6,5;1,9;28,0
2020;Stockholms län;0,0;0,0;0,0;1,5;3,2;6,6;6,7;13,0;24,8;35,7;86,1;106,0;148,6;113,5;63,4;37,3;8,3;2,2;35,0
2019;Riket;0,0;0,0;0,2;1,6;3,0;6,2;5,8;10,7;16,6;39,1;63,4;100,6;111,5;85,4;62,3;29,7;8,6;1,1;31,0
2019;Stockholms län;0,0;0,0;0,7;0,8;0,8;6,5;5,8;12,6;20,1;41,8;78,4;132,0;154,5;126,9;104,0;50,7;8,7;0,0;38,8
2018;Riket;0,0;0,2;0,2;1,6;3,3;5,8;6,1;11,2;20,7;38,2;74,4;101,9;122,3;85,8;60,0;34,2;8,6;0,8;32,9
2018;Stockholms län;0,0;0,0;0,0;3,2;4,6;3,3;8,8;15,2;23,7;41,5;75,1;109,5;139,7;120,8;76,9;38,1;6,9;2,2;35,4
2017;Riket;0,0;0,0;0,2;1,3;1,4;3,2;6,1;10,8;20,2;38,3;65,6;99,1;109,3;81,5;59,1;30,8;8,4;2,3;30,8
2017;Stockholms län;0,0;0,0;0,0;0,8;0,7;1,7;10,2;11,9;18,7;40,3;64,1;112,7;122,6;107,1;71,5;45,6;9,5;4,4;32,5
2016;Riket;0,0;0,0;0,5;1,5;2,5;3,7;4,9;12,1;22,8;37,8;68,0;102,1;103,5;74,5;60,9;32,5;9,8;0,8;30,9
2016;Stockholms län;0,0;0,0;0,8;2,6;1,4;4,0;4,1;9,1;22,2;37,6;78,0;116,6;122,3;94,1;73,6;48,5;7,4;2,2;32,8
2015;Riket;0,2;0,0;0,0;2,1;3,2;4,3;5,5;10,7;22,4;36,8;68,9;98,0;106,7;77,4;62,0;30,6;9,9;1,6;31,2
2015;Stockholms län;0,0;0,0;0,0;0,9;2,8;5,9;6,5;14,9;25,9;37,1;83,9;110,5;143,2;98,8;83,8;47,5;12,5;2,2;35,5
2014;Riket;0,0;0,0;0,4;0,4;4,6;4,8;6,0;10,2;19,7;41,0;78,0;97,6;104,1;75,8;65,7;33,2;14,0;0,8;32,0
2014;Stockholms län;0,0;0,0;0,0;0,0;5,0;4,9;6,0;11,3;22,1;39,3;77,9;111,8;113,7;75,8;88,2;39,1;15,1;0,0;32,0
2013;Riket;0,0;0,0;0,4;1,4;3,9;4,7;4,9;10,0;19,7;35,5;63,1;82,3;105,4;77,0;61,0;31,5;9,0;3,5;29,6
2013;Stockholms län;0,0;0,0;0,0;2,5;2,9;3,8;4,9;10,6;23,3;42,5;65,6;91,3;121,6;98,2;81,8;37,4;12,5;8,8;31,6
2012;Riket;0,0;0,2;0,0;2,8;2,6;4,5;6,5;10,0;18,3;38,8;65,6;83,4;93,3;66,9;55,3;32,0;11,0;0,8;28,4
2012;Stockholms län;0,0;0,0;0,0;4,1;0,7;3,3;5,6;9,2;22,4;32,8;63,7;90,4;99,7;75,9;70,6;42,7;30,1;2,2;28,1
2011;Riket;0,0;0,0;0,4;1,5;3,7;2,5;6,3;7,8;17,9;40,2;62,6;81,2;84,4;75,5;58,7;24,0;8,6;3,6;27,7
2011;Stockholms län;0,0;0,0;0,0;2,4;3,0;2,0;6,4;8,0;22,7;40,5;63,5;104,4;95,4;102,3;80,7;25,9;12,6;4,4;30,1
2010;Riket;0,2;0,0;0,2;0,8;3,6;5,2;5,2;6,8;15,8;27,7;44,3;64,7;73,4;59,4;34,1;23,7;6,5;1,2;21,7
2010;Stockholms län;0,0;0,0;0,9;1,6;4,7;2,8;2,0;7,4;15,6;28,3;61,3;86,1;92,0;82,3;52,7;26,2;17,5;2,2;25,2
2009;Riket;0,0;0,2;0,6;0,8;2,5;2,1;3,4;7,3;16,3;25,5;41,8;51,0;64,4;46,0;30,9;20,7;6,1;2,4;18,7
2009;Stockholms län;0,0;0,0;1,8;2,4;1,7;1,4;3,3;6,9;20,6;28,3;59,1;65,5;77,7;83,7;50,4;36,4;7,4;6,8;23,5
2008;Riket;0,0;0,0;0,0;0,6;2,1;2,5;2,5;5,6;11,6;18,8;32,8;37,3;41,2;32,9;23,9;18,9;7,6;2,1;13,7
2008;Stockholms län;0,0;0,0;0,0;0,0;2,6;2,9;1,3;4,5;12,8;26,5;41,0;42,8;45,2;44,1;33,0;32,2;12,1;0,0;15,4
Inrapporteringen för den specialiserade öppenvården har förbättrats över åren och jämförelser mellan år bör tolkas med försiktighet. I statistikdatabasen för diagnoser går det att se hur antalet inrapporterade besök i den specialiserade öppenvården ökat över tid. Förändringar mellan år kan bero på ökad inrapportering, inte på att fler faktiskt söker vård.
Socialstyrelsens statistikdatabas 2026-02-21
