Operationer, Endast specialiserad öppen vård, Antal ingrepp/100 000 inv, NBL49 Sutur eller reinsertion av sena i axel eller överarm, Ålder: 0-85+, Båda könen
År;Region;0­4;5­9;10­14;15­19;20­24;25­29;30­34;35­39;40­44;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2024;Riket;0,0;0,0;0,0;0,6;3,0;3,6;7,6;9,8;18,4;42,7;73,9;108,5;141,2;104,6;60,3;26,2;9,1;0,3;34,8
2024;Stockholms län;0,0;0,0;0,0;0,7;3,1;3,1;5,4;8,9;20,6;59,2;93,3;143,4;174,2;178,3;121,4;44,8;12,5;1,9;46,1
2023;Riket;0,0;0,0;0,2;1,6;2,5;3,8;5,1;9,6;21,8;42,1;71,9;104,2;129,1;102,7;58,5;27,9;8,5;1,1;33,6
2023;Stockholms län;0,0;0,0;0,7;1,4;1,6;1,2;4,9;5,9;20,9;52,7;82,8;142,4;167,0;167,1;97,4;48,9;25,6;0,0;42,9
2022;Riket;0,0;0,0;0,0;1,0;1,9;4,4;6,0;9,3;17,6;39,7;57,6;94,2;117,4;90,9;48,8;24,1;4,3;0,4;29,6
2022;Stockholms län;0,0;0,0;0,0;0,7;1,6;1,7;5,9;9,3;15,9;47,4;74,6;113,7;132,0;137,9;87,4;42,3;7,4;2,1;35,8
2021;Riket;0,0;0,0;0,2;1,0;2,2;2,8;4,7;7,3;22,8;35,7;56,9;83,6;111,3;77,4;44,4;21,9;7,0;0,4;27,3
2021;Stockholms län;0,0;0,0;0,0;0,0;2,4;2,3;3,0;3,9;23,9;44,1;56,1;92,8;128,0;115,3;76,2;28,3;13,9;0,0;30,8
2020;Riket;0,0;0,0;0,2;2,1;3,1;3,6;4,3;7,6;15,8;32,5;55,7;80,7;99,3;62,0;37,6;21,7;4,0;1,5;24,7
2020;Stockholms län;0,0;0,0;0,0;0,8;2,4;2,7;4,1;8,5;15,1;28,6;79,1;98,4;143,5;101,8;57,5;31,3;6,2;6,6;30,8
2019;Riket;0,0;0,0;0,2;1,2;2,4;5,4;4,0;8,8;13,3;34,3;58,1;90,6;99,7;76,6;55,2;21,9;7,1;0,0;27,3
