Operationer, Endast sluten vård, Antal ingrepp/100 000 inv, NBL49 Sutur eller reinsertion av sena i axel eller överarm, Ålder: 0-85+, Båda könen
År;Region;0­4;5­9;10­14;15­19;20­24;25­29;30­34;35­39;40­44;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2024;Riket;0,0;0,0;0,0;0,5;0,2;0,9;1,3;1,4;2,3;3,4;5,7;5,9;9,7;6,8;7,6;4,0;2,0;0,3;2,9
2024;Stockholms län;0,0;0,0;0,0;0,0;0,8;2,4;2,0;3,7;5,7;6,1;12,2;12,9;21,2;15,5;24,3;11,7;4,7;0,0;6,4
2023;Riket;0,0;0,0;0,0;0,5;0,7;1,2;1,3;0,6;2,6;3,1;7,0;7,5;9,6;9,0;6,5;4,8;3,8;1,4;3,2
2023;Stockholms län;0,0;0,0;0,0;1,4;0,8;2,4;2,0;1,6;5,8;6,7;14,3;16,7;23,7;24,3;18,8;11,7;6,8;0,0;7,1
2022;Riket;0,0;0,0;0,0;0,3;0,7;0,9;1,8;2,0;2,3;3,8;5,4;7,9;9,3;9,2;8,5;4,3;2,0;1,5;3,3
2022;Stockholms län;0,0;0,0;0,0;0,0;1,6;1,7;4,4;3,8;6,5;8,4;13,3;13,1;17,9;22,8;16,5;7,6;1,9;2,1;6,5
2021;Riket;0,0;0,0;0,3;0,3;1,0;1,0;0,7;2,4;4,4;3,8;6,0;9,0;10,5;8,4;7,2;4,7;2,4;1,9;3,5
2021;Stockholms län;0,0;0,0;0,7;0,0;2,4;2,8;2,0;5,6;8,4;8,9;8,9;7,4;20,0;12,6;13,0;5,7;2,0;4,4;5,6
2020;Riket;0,0;0,0;0,0;0,3;0,5;1,9;1,8;2,7;3,6;5,5;11,3;13,9;14,9;12,1;8,1;6,1;2,9;1,1;4,9
2020;Stockholms län;0,0;0,0;0,0;0,8;0,8;4,9;2,6;5,7;10,9;10,1;14,7;16,7;14,4;15,7;8,8;7,2;2,1;0,0;6,6
2019;Riket;0,0;0,0;0,0;0,4;0,7;1,2;2,1;2,2;4,1;6,2;8,2;13,0;15,7;12,9;12,6;9,9;2,2;1,1;5,1
